area,street,mins_to_underground,housing_type,ceiling_height_m,bathroom_type,view,renovation_type,house_material_type,parking,living_area,kitchen_area,construction_year,house_commisioned,finishing_type,price_per_meter,deal_conditions,url,mortgage_availability,transport_accessibility_score,address
Хамовники,Фрунзенская наб.,10.0,Новостройка,34.0,"3 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитно-кирпичный,Подземная,64.7,52.7,2027.0,Не сдан,Без отделки,2494802.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/306341805/,,,
Пресненский,Московский международный деловой центр Москва-Сити территория,4.0,Вторичка / Апартаменты,4.0,"3 совмещенных, 1 раздельный",На улицу,Дизайнерский,Монолитный,Подземная,,,,,,1400000.0,свободная продажа,https://www.cian.ru/sale/flat/297733877/,возможна,,
Пресненский,ул. Костикова,9.0,Новостройка,3.0,"2 совмещенных, 1 раздельный",Во двор,Чистовая с мебелью,Монолитный,,,27.1,2023.0,Сдан,"Чистовая, чистовая с мебелью",1470735.0,свободная продажа,https://www.cian.ru/sale/flat/306541543/,,8.2,
Хорошевский,ул. Гризодубовой,7.0,Вторичка,3.0,2 совмещенных,На улицу и двор,Косметический,Монолитный,Подземная,,,,,,319541.0,свободная продажа,https://www.cian.ru/sale/flat/293126875/,возможна,,
Якиманка,Лаврушинский жилой комплекс,2.0,Новостройка,335.0,"3 совмещенных, 1 раздельный",Во двор,Без отделки,Монолитный,Подземная,75.6,55.0,2024.0,Не сдан,Без отделки,2809728.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/303408628/,возможна,8.7,
Беговой,ул. 3-я Ямского Поля,7.0,Вторичка / Апартаменты,,3 совмещенных,На улицу,Дизайнерский,Монолитный,,,,,,,770416.0,свободная продажа,https://www.cian.ru/sale/flat/288460497/,возможна,,
Хамовники,Трубецкая ул.,6.0,Вторичка,,4 совмещенных,,Дизайнерский,Кирпичный,Многоуровневая,,23.9,,,,1653465.0,свободная продажа,https://www.cian.ru/sale/flat/304329878/,,,
Арбат,Крестовоздвиженский пер.,4.0,Новостройка,435.0,"4 совмещенных, 1 раздельный",На улицу и двор,Предчистовая,Монолитно-кирпичный,Подземная,60.0,21.3,2026.0,Не сдан,"Предчистовая, чистовая",2900000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/308088589/,возможна,,
Тверской,Сущевская ул.,6.0,Вторичка / Пентхаус,,3 совмещенных,На улицу и двор,Евроремонт,Монолитный,,,15.0,,,,550000.0,свободная продажа,https://www.cian.ru/sale/flat/292444827/,возможна,,
Якиманка,Софийская наб.,10.0,Новостройка,303.0,,,Без отделки,Монолитный,Подземная,,,2026.0,Не сдан,Без отделки,2200000.0,долевое участие (214-ФЗ),https://www.cian.ru/sale/flat/303616423/,возможна,,
Арбат,Филипповский пер.,6.0,Вторичка,31.0,3 совмещенных,На улицу и двор,Дизайнерский,Кирпичный,Подземная,,,,,,750000.0,свободная продажа,https://www.cian.ru/sale/flat/293030412/,возможна,,
Пресненский,1-й Красногвардейский проезд,3.0,Новостройка / Апартаменты,39.0,,На улицу,Без отделки,Монолитный,,,,2020.0,Сдан,"Без отделки, чистовая",855000.0,свободная продажа,https://www.cian.ru/sale/flat/302833878/,,,
,,19.0,Вторичка,32.0,2 совмещенных,Во двор,Без ремонта,Кирпичный,,130.0,25.0,,,,362585.0,свободная продажа,https://www.cian.ru/sale/flat/305951087/,возможна,,
Арбат,ул. Арбат,9.0,Новостройка,33.0,,На улицу и двор,Черновая,Монолитный,Подземная,,,2019.0,Сдан,Черновая,1368421.0,свободная продажа,https://www.cian.ru/sale/flat/274788985/,возможна,7.9,
Тверской,ул. Малая Дмитровка,8.0,Вторичка,36.0,2 совмещенных,,Дизайнерский,Кирпичный,Наземная,170.3,16.7,,,,546875.0,свободная продажа,https://www.cian.ru/sale/flat/295368854/,возможна,,
